fk_x_invoice_hub_id,created_at,fk_x_currency_ref_cd,due_amt,total_amt,subtotal_amt,fee_amt,paid_ind,closed_ind,forgiven_ind,attempt_cnt,x_receipt_id,next_attempt_at,period_start_at,period_end_at,description,fk_s_change_context_id,row_hash,fk_x_invoice_hub_id_raw
11E7137A7136E3DCA211020AF2129A61,"2017-03-27 22:50:27.090",USD,27563,27563,27563,0,1,1,0,1,2734-5631,NULL,NULL,NULL,NULL,11E7137A71985EA6BCDA06616AC582AF,63BA0BE7F1FEA6C7CF6131E9B4AE0172,...
11E7137A773CCB1EA211020AF2129A61,"2017-03-27 22:50:37.397",USD,22244,22244,22244,0,1,1,0,1,2980-7475,NULL,NULL,NULL,NULL,11E7137A77BD0926BCDA06616AC582AF,53D3FF8F3CB5122FE32D134EFA1A73CB,...
11E7137A79BBAD6FA211020AF2129A61,"2017-03-27 22:50:41.296",USD,27164,27164,27164,0,1,1,0,1,2790-5786,NULL,NULL,NULL,NULL,11E7137A7A1027BABCDA06616AC582AF,4F57A0F2610DD51421F89D36C622F9C5,...
11E7137A7ED1DC8EA211020AF2129A61,"2017-03-27 22:50:49.854",USD,14803,14803,14803,0,1,1,0,1,2572-6829,NULL,NULL,NULL,NULL,11E7137A7F29EA4BBCDA06616AC582AF,8529B70168DC78CEBBF6A205615B02AA,...
11E7137A818C9085A211020AF2129A61,"2017-03-27 22:50:54.350",USD,27301,27301,27301,0,1,1,0,1,2640-6122,NULL,NULL,NULL,NULL,11E7137A81D80522BCDA06616AC582AF,E8F128E56A33EB5780B3A8DD3C8632E3,...
11E7137A8717C844A211020AF2129A61,"2017-03-27 22:51:03.920",USD,21825,21825,21825,0,1,1,0,1,2898-8604,NULL,NULL,NULL,NULL,11E7137A878C3E88BCDA06616AC582AF,80AC9A742C338850F5EE1B491A552021,...
11E7137A88CAD01BA211020AF2129A61,"2017-03-27 22:51:06.367",USD,22912,22912,22912,0,1,1,0,1,2890-0118,NULL,NULL,NULL,NULL,11E7137A89019349BCDA06616AC582AF,19672C991E0B8166DA62133B057DBFDE,...
11E7137A8E0612CFA211020AF2129A61,"2017-03-27 22:51:15.256",USD,26415,26415,26415,0,1,1,0,1,2726-8940,NULL,NULL,NULL,NULL,11E7137A8E4DECDFBCDA06616AC582AF,7F41DA52B2B350BA901CDA9CFFC8C600,...
11E7137A8FD9250EA211020AF2129A61,"2017-03-27 22:51:18.407",USD,12560,12560,12560,0,1,1,0,1,2109-0114,NULL,NULL,NULL,NULL,11E7137A902ED9BBBCDA06616AC582AF,C46054CCA43DB15E388830C84A244A16,...
11E7137A94DD05BAA211020AF2129A61,"2017-03-27 22:51:26.591",USD,11606,11606,11606,0,1,1,0,1,2097-0638,NULL,NULL,NULL,NULL,11E7137A950F8563BCDA06616AC582AF,EF4DD749AA560EC3E77D044E633301FB,...
11E7137A968ADCB0A211020AF2129A61,"2017-03-27 22:51:29.332",USD,6095,6095,6095,0,1,1,0,1,2175-8241,NULL,NULL,NULL,NULL,11E7137A96B1D15DBCDA06616AC582AF,B51E174E9F90F9CD4F615AEAAF53F194,...
11E7137A989467B8A211020AF2129A61,"2017-03-27 22:51:32.538",USD,1900,1900,1900,0,1,1,0,1,2869-1304,NULL,"2016-03-25 17:11:51","2016-04-25 17:11:51",NULL,11E7137A989AC316BCDA06616AC582AF,F7C044924FB96D9DB910F2085AFADA4D,...
11E7137A98AE316BA211020AF2129A61,"2017-03-27 22:51:32.708",USD,606,606,606,0,1,1,0,1,2294-3866,NULL,NULL,NULL,NULL,11E7137A98B50727BCDA06616AC582AF,FDBF93C7E7E0308CCC52998AA9BFC0AA,...
11E7137A98F65E55A211020AF2129A61,"2017-03-27 22:51:33.173",USD,1252,1252,1252,0,1,1,0,1,2901-5548,NULL,NULL,NULL,NULL,11E7137A98FBE7C0BCDA06616AC582AF,95C2D6CD40889995CEF59477466B8F63,...
11E7137A9ADECDBDA211020AF2129A61,"2017-03-27 22:51:37.274",USD,32974,32974,32974,0,1,1,0,1,2302-5299,NULL,NULL,NULL,NULL,11E7137A9B6D9DE7BCDA06616AC582AF,3FA4002FACEA7FC52D38343C734926E8,...
11E7137A9D2BA34BA211020AF2129A61,"2017-03-27 22:51:40.730",USD,25627,25627,25627,0,1,1,0,1,2224-8584,NULL,NULL,NULL,NULL,11E7137A9D7D067FBCDA06616AC582AF,1F7FEB917B4C79E901E5DB2DCD848447,...
11E7137AA446CA76A211020AF2129A61,"2017-03-27 22:51:52.937",USD,19901,19901,19901,0,1,1,0,1,2989-6108,NULL,NULL,NULL,NULL,11E7137AA4C39BF1BCDA06616AC582AF,F3E5722ED10054A94EDD9E4688D6714D,...
